player,club,position,age,nationality,data_country,data_season,gross_weekly_eur,gross_annual_eur
Iván Villar,Celta Vigo,K,26,Spain,spain,2324,20000.0,1040000.0
Samú Costa,Mallorca,M,23,Portugal,spain,2324,20000.0,1040000.0
Kamil Jóźwiak,Granada,F,25,Poland,spain,2324,19615.0,1020000.0
Samu Castillejo,Valencia,F,28,Spain,spain,2324,19231.0,1000000.0
Andoni Gorosabel,Alaves,D,27,Spain,spain,2324,19231.0,1000000.0
Carlos Fernández,Real Sociedad,F,27,Spain,spain,2324,19231.0,1000000.0
Jorge Meré,Cadiz,D,26,Spain,spain,2324,19231.0,1000000.0
Álvaro Negredo,Cadiz,F,38,Spain,spain,2324,19231.0,1000000.0
Kiko Femenía,Villarreal,D,33,Spain,spain,2324,19231.0,1000000.0
Manu Sánchez,Celta Vigo,D,23,Spain,spain,2324,19231.0,1000000.0
Abner,Real Betis,D,23,Brazil,spain,2324,19231.0,1000000.0
Jeremías Ledesma,Cadiz,K,30,Argentina,spain,2324,19231.0,1000000.0
Iñigo Lekue,Athletic Club,D,30,Spain,spain,2324,19231.0,1000000.0
Adrián Embarba,Almeria,F,31,Spain,spain,2324,18462.0,960000.0
Sergio Herrera,Osasuna,K,30,Spain,spain,2324,18269.0,950000.0
Hannibal,Sevilla,F,21,Tunisia,spain,2324,18077.0,940000.0
Antonio Blanco,Alaves,M,23,Spain,spain,2324,18077.0,940000.0
Nahuel Tenaglia,Alaves,D,27,Argentina,spain,2324,18077.0,940000.0
Alfonso Espino,Rayo Vallecano,D,32,Uruguay,spain,2324,18077.0,940000.0
Jailson,Celta Vigo,M,28,Brazil,spain,2324,17885.0,930000.0
Lucas Boyé,Granada,F,27,Argentina,spain,2324,17308.0,900000.0
Rui Silva,Real Betis,K,29,Portugal,spain,2324,17308.0,900000.0
Bruno Méndez,Granada,D,24,Uruguay,spain,2324,17308.0,900000.0
Joseba Zaldua,Cadiz,D,31,Spain,spain,2324,17308.0,900000.0
Nacho Vidal,Mallorca,D,29,Spain,spain,2324,16731.0,870000.0
Sergio Ruiz,Granada,M,29,Spain,spain,2324,16731.0,870000.0
Nacho Vidal,Osasuna,D,28,Spain,spain,2324,16731.0,870000.0
Ivo Grbic,Atletico Madrid,K,27,Croatia,spain,2324,16538.0,860000.0
Enes Ünal,Getafe,F,26,Turkey,spain,2324,16538.0,860000.0
Youssouf Sabaly,Real Betis,D,30,Senegal,spain,2324,16346.0,850000.0
Siebe Van der Heyden,Mallorca,D,25,Belgium,spain,2324,16346.0,850000.0
Martin Hongla,Granada,M,25,Cameroon,spain,2324,16346.0,850000.0
Famara Diédhiou,Granada,F,30,Senegal,spain,2324,16346.0,850000.0
Sergio Camello,Rayo Vallecano,F,22,Spain,spain,2324,16154.0,840000.0
Kike Barja,Osasuna,F,26,Spain,spain,2324,16154.0,840000.0
Cyle Larin,Mallorca,F,28,Canada,spain,2324,16154.0,840000.0
