,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Ante Rebić,"€ 35,577","€ 1,850,000","€ 1,850,000",F,31,Croatia,Lecce,italy,2425
Ionut Radu,"€ 35,577","€ 1,850,000","€ 1,850,000",K,27,Romania,Venezia,italy,2425
Edoardo Bove,"€ 35,577","€ 1,850,000","€ 1,850,000",M,22,Italy,Fiorentina,italy,2425
Loum Tchaouna,"€ 35,577","€ 1,850,000","€ 1,850,000",F,21,France,Lazio,italy,2425
Michael Kayode,"€ 35,577","€ 1,850,000","€ 1,850,000",D,20,Italy,Fiorentina,italy,2425
Gaetano Castrovilli,"€ 35,577","€ 1,850,000","€ 1,850,000",M,27,Italy,Lazio,italy,2425
Nicolò Zaniolo,"€ 35,577","€ 1,850,000","€ 1,850,000",F,25,Italy,Fiorentina,italy,2425
Pietro Comuzzo,"€ 35,577","€ 1,850,000","€ 1,850,000",D,20,Italy,Fiorentina,italy,2425
Fabio Miretti,"€ 35,577","€ 1,850,000","€ 1,850,000",M,21,Italy,Genoa,italy,2425
Nicolas Viola,"€ 35,577","€ 1,850,000","€ 1,850,000",F,35,Italy,Cagliari,italy,2425
Milan Badelj,"€ 34,423","€ 1,790,000","€ 1,790,000",M,35,Croatia,Genoa,italy,2425
Perr Schuurs,"€ 34,423","€ 1,790,000","€ 1,790,000",D,25,Netherlands,Torino,italy,2425
Gianluca Caprari,"€ 32,115","€ 1,670,000","€ 1,670,000",F,31,Italy,Monza,italy,2425
Davide Zappacosta,"€ 32,115","€ 1,670,000","€ 1,670,000",M,32,Italy,Atalanta,italy,2425
Isak Hien,"€ 32,115","€ 1,670,000","€ 1,670,000",D,26,Sweden,Atalanta,italy,2425
Christian Kabasele,"€ 32,115","€ 1,670,000","€ 1,670,000",D,33,Belgium,Udinese,italy,2425
Saúl Coco,"€ 32,115","€ 1,670,000","€ 1,670,000",D,25,Equatorial Guinea,Torino,italy,2425
Lukasz Skorupski,"€ 32,115","€ 1,670,000","€ 1,670,000",K,33,Poland,Bologna,italy,2425
Enrico Del Prato,"€ 32,115","€ 1,670,000","€ 1,670,000",D,25,Italy,Parma,italy,2425
Emil Audero,"€ 32,115","€ 1,670,000","€ 1,670,000",K,27,Italy,Como,italy,2425
Jean-Daniel Akpa Akpro,"€ 32,115","€ 1,670,000","€ 1,670,000",M,32,Cote d'Ivoire,Monza,italy,2425
Nicolas Haas,"€ 32,115","€ 1,670,000","€ 1,670,000",M,29,Switzerland,Empoli,italy,2425
Pietro Terracciano,"€ 32,115","€ 1,670,000","€ 1,670,000",K,34,Italy,Fiorentina,italy,2425
Mattéo Guendouzi,"€ 32,115","€ 1,670,000","€ 1,670,000",M,25,France,Lazio,italy,2425
