,EST. BASE SALARY,EST. BASE SALARY,EST. BASE SALARY,BIO,BIO,BIO,,data_country,data_season
Randal Kolo Muani,"€ 28,846","€ 1,500,000","€ 1,500,000",F,24,France,Eintracht Frankfurt,germany,2223
Alexander Hack,"€ 28,846","€ 1,500,000","€ 1,500,000",D,29,Germany,Mainz,germany,2223
Christoph Baumgartner,"€ 28,846","€ 1,500,000","€ 1,500,000",F,23,Austria,Hoffenheim,germany,2223
Tuta,"€ 28,846","€ 1,500,000","€ 1,500,000",D,23,Brazil,Eintracht Frankfurt,germany,2223
Kevin Akpoguma,"€ 28,846","€ 1,500,000","€ 1,500,000",D,28,Nigeria,Hoffenheim,germany,2223
Davie Selke,"€ 28,846","€ 1,500,000","€ 1,500,000",F,28,Germany,Koln,germany,2223
Jonathan Burkardt,"€ 28,846","€ 1,500,000","€ 1,500,000",F,22,Germany,Mainz,germany,2223
John Anthony Brooks,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,United States,Hoffenheim,germany,2223
Davie Selke,"€ 28,846","€ 1,500,000","€ 1,500,000",F,27,Germany,Hertha Berlin,germany,2223
Robin Knoche,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,Germany,Union Berlin,germany,2223
Genki Haraguchi,"€ 28,846","€ 1,500,000","€ 1,500,000",F,31,Japan,Stuttgart,germany,2223
Niklas Stark,"€ 27,692","€ 1,440,000","€ 1,440,000",D,27,Germany,Werder Bremen,germany,2223
Makoto Hasebe,"€ 26,923","€ 1,400,000","€ 1,400,000",D,39,Japan,Eintracht Frankfurt,germany,2223
Éder Balanta,"€ 26,923","€ 1,400,000","€ 1,400,000",M,29,Colombia,Schalke 04,germany,2223
Florian Kainz,"€ 26,923","€ 1,400,000","€ 1,400,000",F,30,Austria,Koln,germany,2223
Micky van de Ven,"€ 26,538","€ 1,380,000","€ 1,380,000",D,21,Netherlands,Wolfsburg,germany,2223
Sheraldo Becker,"€ 26,538","€ 1,380,000","€ 1,380,000",F,27,Suriname,Union Berlin,germany,2223
Elvis Rexhbecaj,"€ 26,538","€ 1,380,000","€ 1,380,000",M,25,Germany,Augsburg,germany,2223
Bartol Franjic,"€ 25,962","€ 1,350,000","€ 1,350,000",M,23,Croatia,Wolfsburg,germany,2223
Florian Niederlechner,"€ 25,385","€ 1,320,000","€ 1,320,000",F,32,Germany,Hertha Berlin,germany,2223
Nathan N'Goumou,"€ 25,385","€ 1,320,000","€ 1,320,000",F,22,France,Monchengladbach,germany,2223
Jeremie Frimpong,"€ 25,385","€ 1,320,000","€ 1,320,000",D,22,Netherlands,Bayer Leverkusen,germany,2223
Grischa Prömel,"€ 25,385","€ 1,320,000","€ 1,320,000",M,28,Germany,Hoffenheim,germany,2223
Stevan Jovetic,"€ 25,192","€ 1,310,000","€ 1,310,000",F,33,Montenegro,Hertha Berlin,germany,2223
Paulinho,"€ 25,000","€ 1,300,000","€ 1,300,000",F,22,Brazil,Bayer Leverkusen,germany,2223
Julian Baumgartlinger,"€ 24,038","€ 1,250,000","€ 1,250,000",M,35,Austria,Augsburg,germany,2223
Andrey Lunev,"€ 23,846","€ 1,240,000","€ 1,240,000",K,31,Russia,Bayer Leverkusen,germany,2223
Lys Mousset,"€ 23,654","€ 1,230,000","€ 1,230,000",F,26,France,Bochum,germany,2223
